date,category,total_cases,reported,spk_issued,invoice,paid,pct_reported,pct_spk,pct_invoice,pct_paid
2026-05-31,nongrab_allrisk,2037.0,1847.0,1613.0,1102.0,482.0,90.67,79.19,54.1,23.66
2026-06-01,grab_oona,2852.0,2852.0,2726.0,2715.0,1445.0,100.0,95.58,95.2,50.67
2026-06-01,grab_avrist,1958.0,1958.0,1864.0,1864.0,1320.0,100.0,95.2,95.2,67.42
2026-06-01,nongrab_oona,94.0,94.0,94.0,92.0,0.0,100.0,100.0,97.87,0.0
2026-06-01,nongrab_avrist,528.0,528.0,496.0,495.0,125.0,100.0,93.94,93.75,23.67
2026-06-01,nongrab_sinarmas,244.0,244.0,244.0,239.0,0.0,100.0,100.0,97.95,0.0
2026-06-01,grab_allrisk,28.0,28.0,28.0,25.0,0.0,100.0,100.0,89.29,0.0
2026-06-01,nongrab_allrisk,2052.0,1847.0,1613.0,1102.0,482.0,90.01,78.61,53.7,23.49
2026-06-02,grab_oona,2894.0,2894.0,2766.0,2755.0,1445.0,100.0,95.58,95.2,49.93
2026-06-02,grab_avrist,1974.0,1974.0,1878.0,1878.0,1320.0,100.0,95.14,95.14,66.87
2026-06-02,nongrab_oona,95.0,95.0,95.0,93.0,0.0,100.0,100.0,97.89,0.0
2026-06-02,nongrab_avrist,545.0,545.0,513.0,512.0,125.0,100.0,94.13,93.94,22.94
2026-06-02,nongrab_sinarmas,252.0,252.0,252.0,247.0,0.0,100.0,100.0,98.02,0.0
2026-06-02,grab_allrisk,28.0,28.0,28.0,25.0,0.0,100.0,100.0,89.29,0.0
2026-06-02,nongrab_allrisk,2069.0,1849.0,1625.0,1166.0,482.0,89.37,78.54,56.36,23.3
2026-06-03,grab_oona,2937.0,2937.0,2796.0,2784.0,1445.0,100.0,95.2,94.79,49.2
2026-06-03,grab_avrist,1992.0,1992.0,1889.0,1889.0,1320.0,100.0,94.83,94.83,66.27
2026-06-03,nongrab_oona,96.0,96.0,96.0,94.0,0.0,100.0,100.0,97.92,0.0
2026-06-03,nongrab_avrist,559.0,559.0,521.0,520.0,125.0,100.0,93.2,93.02,22.36
2026-06-03,nongrab_sinarmas,261.0,261.0,261.0,256.0,0.0,100.0,100.0,98.08,0.0
2026-06-03,grab_allrisk,29.0,29.0,29.0,25.0,0.0,100.0,100.0,86.21,0.0
2026-06-03,nongrab_allrisk,2088.0,1886.0,1660.0,1233.0,482.0,90.33,79.5,59.05,23.08
2026-06-04,grab_oona,2981.0,2981.0,2826.0,2814.0,1445.0,100.0,94.8,94.4,48.47
2026-06-04,grab_avrist,2005.0,2005.0,1898.0,1898.0,1320.0,100.0,94.66,94.66,65.84
2026-06-04,nongrab_oona,100.0,100.0,100.0,98.0,0.0,100.0,100.0,98.0,0.0
2026-06-04,nongrab_avrist,574.0,574.0,526.0,525.0,125.0,100.0,91.64,91.46,21.78
2026-06-04,nongrab_sinarmas,273.0,273.0,273.0,268.0,0.0,100.0,100.0,98.17,0.0
2026-06-04,grab_allrisk,29.0,29.0,29.0,25.0,0.0,100.0,100.0,86.21,0.0
2026-06-04,nongrab_allrisk,2105.0,1959.0,1713.0,1233.0,482.0,93.06,81.38,58.57,22.9
2026-06-05,grab_oona,3027.0,3027.0,2857.0,2844.0,1445.0,100.0,94.38,93.95,47.74
2026-06-05,grab_avrist,2027.0,2027.0,1914.0,1913.0,1320.0,100.0,94.43,94.38,65.12
2026-06-05,nongrab_oona,102.0,102.0,102.0,100.0,0.0,100.0,100.0,98.04,0.0
2026-06-05,nongrab_avrist,592.0,592.0,535.0,534.0,125.0,100.0,90.37,90.2,21.11
2026-06-05,nongrab_sinarmas,277.0,277.0,277.0,272.0,0.0,100.0,100.0,98.19,0.0
2026-06-05,grab_allrisk,29.0,29.0,29.0,25.0,0.0,100.0,100.0,86.21,0.0
2026-06-05,nongrab_allrisk,2129.0,1985.0,1727.0,1328.0,570.0,93.24,81.12,62.38,26.77
2026-06-06,grab_oona,3054.0,3054.0,2877.0,2863.0,1445.0,100.0,94.2,93.75,47.31
2026-06-06,grab_avrist,2033.0,2033.0,1919.0,1918.0,1320.0,100.0,94.39,94.34,64.93
2026-06-06,nongrab_oona,102.0,102.0,102.0,100.0,0.0,100.0,100.0,98.04,0.0
2026-06-06,nongrab_avrist,604.0,604.0,541.0,540.0,125.0,100.0,89.57,89.4,20.7
2026-06-06,nongrab_sinarmas,285.0,285.0,285.0,279.0,0.0,100.0,100.0,97.89,0.0
